CVEGEO,MUNICIPIO,CLAVE             GEO-LOC,LOCALIDAD,FECHA,DEPENDENCIA,ACCIONES,PERSONAS_ATENDIDAS,CANTIDAD_DE_PETICIONES_RECIBIDAS,TIPO_DE_PETICION_MAS_FRECUENTE,ÁREA DE OPORTUNIDAD,FOTO
30144,Sayula de Alemán,301440006,Almagres,18/01/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",20,20,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLoK3a
30117,Omealca,301170022,Mata tenatito,25/01/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",Jurídico de Segob,Jurídico de Segob,Jurídico de Segob,S/D,0
30006,Acultzingo,300060017,Tecamalucan,01/02/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",23,23,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLiusS
30142,San Juan Evangelista,301420040,Villa Juanita o Estación Juanita,08/02/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",21,21,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLoK3a
30207,Tres Valles,302070025,Los Naranjos,15/02/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",15,15,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLiGZF
30094,Juan Rodríguez Clara,300940044,Los Tigres (San Marcos),22/02/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",5,5,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLsd2o
30174,Tierra Blanca,301740007,Barahunda,29/02/2019,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",6,6,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLiGZF
30201,Zongolica,30201,Zongolica,07/03/20,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",48,48,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLpYva
30169,José Azueta,301690071,Tesechoacán,14/03/20120,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Legal",1,1,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmNLiGZF
